playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary,ppdollar,overallRank
497236,Jimmy Graham,GB,TE,33,9,11,6.580130922,6.103354032,6.937299917,0.333992538,16,0.668481729,5,0.833945886,NA,15.1,1.6,2.566952319,NA,5400,0.001218543,NA
2556885,Jalen Richard,OAK,RB,26,3,6,6.569029171,5.3299,7.801561522,1.450574489,43,0.164304147,9,2.471661522,NA,61,5.8,4.997007566,NA,5100,0.001288045,NA
2543590,Cody Latimer,NYG,WR,27,5,11,6.483624309,3.93576006,7.454016595,1.450555891,60,0.128954569,7,3.518256536,NA,69.5,15.9,7.891468104,NA,5500,0.001178841,NA
100030,Seahawks,SEA,DST,NA,NA,11,6.443322857,5.53,7.203517442,0.782410413,18,0.104451033,3,1.673517442,NA,NA,NA,4.10189762,NA,3700,0.001741439,NA
2560733,Royce Freeman,DEN,RB,23,1,10,6.421509216,5.52632,7.014248783,0.730926923,45,0.070900166,9,1.487928783,NA,39.5,3.2,3.440941988,NA,5900,0.001088391,NA
2495469,Dion Lewis,TEN,RB,29,8,11,6.387940832,5.405,7.798441673,1.470465935,46,0.093048344,9,2.393441673,NA,51.2,3.5,3.620488016,NA,5200,0.00122845,NA
2550256,Willie Snead,BAL,WR,27,5,8,6.365265614,5.540979899,7.4845,1.163456135,61,0.053223768,7,1.943520101,NA,73.6,7.4,4.382905808,NA,5000,0.001273053,NA
100022,Saints,NO,DST,NA,NA,9,6.351137143,5.12196,6.309296636,0.5019007,19,0.036791137,4,1.187336636,NA,NA,NA,2.813487767,NA,3800,0.001671352,NA
2535698,Cole Beasley,BUF,WR,30,7,6,6.344073867,4.35198392,8.039091304,1.632570322,62,0.072496028,7,3.687107385,NA,66.4,11.7,6.157825558,NA,5000,0.001268815,NA
100023,Giants,NYG,DST,NA,NA,11,6.326606505,4.2,7.551232558,1.624959416,21,0.04205718,4,3.351232558,NA,NA,NA,7.971811514,NA,3500,0.001807602,NA
2559924,Ito Smith,ATL,RB,24,1,9,6.313277266,5.965,6.53090949,0.259706051,47,0.042559788,10,0.56590949,NA,49.4,3.7,3.740185368,NA,5300,0.001191184,NA
100032,Redskins,WAS,DST,NA,NA,10,6.302085507,5.32,6.790493907,0.687493104,22,0.04701865,4,1.470493907,NA,NA,NA,3.665932693,NA,3400,0.001853555,NA
2557863,Zay Jones,OAK,WR,24,2,6,6.280009826,5.012,6.907133928,0.837219823,63,0.037124326,7,1.895133928,NA,76.8,7.3,4.341628604,NA,4700,0.001336172,NA
2560967,Kalen Ballage,MIA,RB,NA,1,5,6.276507711,5.73,6.590895039,0.397444757,48,0.075795555,10,0.860895039,NA,53.8,4.1,3.979580073,NA,5100,0.001230688,NA
100028,Chargers,LAC,DST,NA,NA,12,6.267013143,5.87974,7.104587209,0.893184981,23,0.062186286,4,1.224847209,NA,NA,NA,4.61069656,NA,4000,0.001566753,NA
2555418,Jordan Howard,PHI,RB,25,3,10,6.264927245,3.99184,7.663205087,1.584486021,49,0.136577548,10,3.671365087,NA,42.2,4,3.919731397,NA,5600,0.001118737,NA
2558846,Mike Williams,LAC,WR,25,2,12,6.263145851,3.016702703,8.402851905,2.606677007,64,0.048988213,7,5.386149202,NA,49.8,15.5,7.72635929,NA,6100,0.001026745,NA
100011,Packers,GB,DST,NA,NA,11,6.243120571,5.06,7.684893617,1.076901648,24,0.226729143,4,2.624893617,NA,NA,NA,5.454526033,NA,3900,0.0016008,NA
2552600,Nelson Agholor,PHI,WR,26,4,10,6.222625147,4.435586935,7.347359012,1.410088015,65,0.127709743,7,2.911772077,NA,82.4,7.8,4.548014622,NA,4800,0.00129638,NA
2560836,Dante Pettis,SF,WR,24,1,4,6.20569013,3.413,9.41894998,3.011766617,66,0.307234633,7,6.00594998,NA,65.9,10.7,5.745053523,NA,5600,0.001108159,NA
100010,Lions,DET,DST,NA,NA,5,6.166533143,5.54,6.499446522,0.403408559,25,0.320047143,4,0.959446522,NA,NA,NA,2.361103271,NA,4000,0.001541633,NA
2506404,Frank Gore,BUF,RB,36,14,6,6.136497068,5.32,6.867740874,0.768183818,50,0.108253145,10,1.547740874,NA,51.2,4.7,4.338672129,NA,4900,0.001252346,NA
2553439,Mike Davis,CHI,RB,26,4,6,6.120202326,4.69804,7.39097139,1.434998893,51,0.289286955,10,2.69293139,NA,47.8,4.2,4.039428749,NA,4900,0.001249021,NA
2560842,Eddy Pineiro,CHI,K,NA,1,6,6.015035679,4.5,7.354,1.301563312,28,0.35131028,4,2.854,NA,26.4,3.1,5.930537165,NA,NA,NA,NA
2562580,Mecole Hardman,KC,WR,49,0,12,5.984140678,4.930775011,7.130893445,1.119493525,68,0.268929872,7,2.200118434,NA,45.3,9.9,5.414835895,NA,4700,0.001273221,NA
2553728,Raheem Mostert,SF,RB,NA,NA,4,5.936285519,3.7819,6.984719991,1.425516766,52,0.262788798,10,3.202819991,NA,45.7,7.8,6.193981088,NA,5600,0.001060051,NA
2543466,Eric Ebron,IND,TE,26,5,6,5.934608169,4.627706338,7.222839247,1.144966113,17,0.149195785,5,2.595132909,NA,16.6,2.5,3.116525275,NA,5700,0.001041159,NA
